Date,Open,High,Low,Close,Volume,Adj Close,Gold,jpyusd,gbpusd,eurusd,Crude,Earnings,Div. yield,Dividend,CALLS,PUTS,TOTAL,P/C Ratio,p/e ratio,ADX+,ADX-,ADX,EMA22,SMA200,RSI22,TR,ATR22,sentiment score
3/13/2015,2064.56,2064.56,2041.17,2053.4,3498560000,2053.4,1157.34,0.8236,1.4739,1.0493,44.88,103.55,1.92,0,1950398,2350772,4301170,1.21,19.83,0,1.85,1.85,2088.08,2003.47,47.98,24.7800,26.1068,-9.0000
3/12/2015,2041.1,2066.41,2041.1,2065.95,3405860000,2065.95,1153.76,0.8243,1.4887,1.0621,47.12,103.55,1.92,0,1757973,1848519,3606492,1.05,19.95,16.33,0,16.33,2088.37,2002.75,53.04,26.1700,11.1073,13.0000
3/11/2015,2044.69,2050.08,2039.69,2040.24,3406570000,2040.24,1155.37,0.8237,1.4937,1.055,48.06,103.55,1.92,0,1722441,1911658,3634099,1.11,19.70,0,26.06,26.06,2086.77,2001.98,43.37,10.3900,34.1391,13.0000
3/10/2015,2076.14,2076.14,2044.16,2044.16,3668900000,2044.16,1161.4,0.8258,1.5066,1.0685,48.42,103.55,1.92,0,2092509,2282254,4374763,1.09,19.74,0,7.35,7.35,2087.87,2001.28,54.16,35.2700,13.2773,0.0000
3/9/2015,2072.25,2083.49,2072.21,2079.43,3349090000,2079.43,1166.98,0.8248,1.5118,1.0846,49.95,103.55,1.92,0,1486551,1644894,3131445,1.11,20.08,0,17.42,17.42,2089.37,2000.52,59.42,12.2300,32.7909,-3.0000
3/6/2015,2100.91,2100.91,2067.27,2071.26,3853570000,2071.26,1165.53,0.8286,1.5048,1.0849,49.61,103.55,1.92,0,2302125,2947004,5249129,1.28,20.00,0,3.34,3.34,2087.77,1999.56,68.12,33.7700,10.1545,4.0000
3/5/2015,2098.54,2104.25,2095.22,2101.04,3103030000,2101.04,1197.91,0.8328,1.525,1.103,50.76,103.55,1.92,0,1489810,1420481,2910291,0.95,20.29,3.2,0,3.20,2087.03,1998.57,75.03,9.0300,13.0964,-2.0000
3/4/2015,2097.37,2101.05,2094.49,2098.53,3421110000,2098.53,1200.59,0.8355,1.5262,1.1079,51.53,103.55,1.92,0,1622497,1484204,3106701,0.91,20.27,0,14.71,14.71,2082.52,1997.49,73.78,13.2900,18.8645,5.0000
3/3/2015,2115.76,2115.76,2098.26,2107.78,3262300000,2107.78,1203.86,0.8358,1.5359,1.1179,50.43,103.55,1.92,0,1613075,1579571,3192646,0.98,20.36,0,1.76,1.76,2079.73,1996.39,80.37,19.1300,13.2977,5.0000
3/2/2015,2105.23,2117.52,2104.5,2117.39,3409490000,2117.39,1206.38,0.8321,1.5357,1.1178,49.59,103.55,1.92,0,1430130,1452189,2882319,1.02,20.45,4.78,0,4.78,2075.78,1995.20,72.58,13.0200,9.1732,-2.0000
2/27/2015,2110.88,2112.74,2103.75,2104.5,3547380000,2104.5,1211.57,0.8362,1.5437,1.1189,49.84,103.41,1.82,0,1964463,2004530,3968993,1.02,20.35,0,1.17,1.17,2071.55,1994.06,69.46,8.9900,10.0973,3.0000
2/26/2015,2113.91,2113.91,2103.76,2110.74,3408690000,2110.74,1209.08,0.8378,1.5407,1.1194,47.65,103.41,1.82,0,1814386,1848835,3663221,1.02,20.41,0,5.68,5.68,2069.87,1993.02,66.05,10.1500,9.7205,5.0000
2/25/2015,2115.3,2119.59,2109.89,2113.86,3312340000,2113.86,1203.86,0.8417,1.5526,1.1363,50.25,103.41,1.82,0,1992783,2001329,3994112,1,20.44,1.65,0,1.65,2067.56,1991.95,66.18,9.7000,11.9623,6.0000
2/24/2015,2109.1,2117.94,2105.87,2115.48,3199840000,2115.48,1200.65,0.8407,1.5449,1.1338,48.48,103.41,1.82,0,1968631,1970919,3939550,1,20.46,7.89,0,7.89,2065.53,1990.78,65.24,12.0700,7.5168,2.0000
2/23/2015,2109.83,2110.05,2103,2109.66,3093680000,2109.66,1201.34,0.8417,1.5453,1.1335,49.56,103.41,1.82,0,1786983,1554537,3341520,0.87,20.40,0,0.56,0.56,2061.81,1989.58,68.55,7.3000,24.3577,1.0000
2/20/2015,2097.65,2110.61,2085.44,2110.3,3281600000,2110.3,1201.11,0.8399,1.5387,1.1382,49.95,103.41,1.82,0,2768825,2199981,4968806,0.79,20.41,8.48,0,8.48,2058.22,1988.42,70.19,25.1700,11.9686,5.0000
